,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
1,14715/274,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-E06-350-S274-2,350-S274-2,NA,NA,GBS2_45,350,S274,Bavaria Saat,Stpr Stärke 2020,Stärke,FALSE
2,14736-2PA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-F06-351-S2pa-2,351-S2pa-2,NA,NA,GBS2_46,351,S2pa,Bavaria Saat,Stpr Stärke 2020,Stärke,FALSE
3,17423-10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-G06-354-M10-2,354-M10-2,NA,NA,GBS2_47,354,M10,Bavaria Saat,Mpr Stärke 2020,Stärke,FALSE
4,7965-5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-H06-355-M5-2,355-M5-2,NA,NA,GBS2_48,355,M5,Bavaria Saat,Mpr Stärke 2020,Stärke,FALSE
5,ACOUSTIC,5,NA,NA,NA,NA,ORCHESTRA,DOB1997-507-015,NLD,2018,https://www.plantbreeding.wur.nl/PotatoPedigree/pedigree_imagemap.php?id=9368,NA,P01-F09-395-ACO-2,395-ACO-2,NA,NA,GBS2_70,395,ACO,C. Meijer B.V.,ADAPT-set,NA,FALSE
6,ADORA,6,1,AD,Exp_03,6,ORLIK,ALCMARIA,NLD,1990,NA,medium,P1-A01-001-AD,001-AD,1,ja,NA,NA,NA,NA,NA,NA,FALSE
7,AGRIA,8,45,AG,Exp_03,5,QUARTA,SEMLO,NLD,1985,NA,medium-torerant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
8,AIKO,13,104,AK,Exp_06,4,ASSIA,JULIVER,GER,1989,NA,medium-sensitiv,P2-H01-104-AK,104-AK,104,nein,NA,NA,NA,NA,NA,NA,FALSE
9,ALBATROS,14,NA,NA,NA,NA,1.293112-77 N+Z,1.3014102-81,GER,1996,https://www.plantbreeding.wur.nl/PotatoPedigree/pedigree_imagemap.php?id=9368,NA,P01-A07-357-ALB-2,357-ALB-2,NA,NA,GBS2_49,357,ALB,Norika,Mpr Stärke 2020,NA,FALSE
10,ALCANDER,15,2,AC,Exp_07,6,RZ- 95-6141,CRISPS4ALL,NLD,2018,NA,medium,P1-B01-002-AC,002-AC,2,nein,NA,NA,NA,NA,NA,NA,FALSE
