# PSC, Per-sample counts. Note that the ref/het/hom counts include only SNPs, for indels see PSI. The rest include both SNPs and indels.
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	Sample_P01-A01-208-AMA-2	5931	22	5	17	10	0	161.9	4	0	0	0
PSC	0	Sample_P01-A02-245-GA-2	5935	23	0	14	9	0	200.6	0	0	0	0
PSC	0	Sample_P01-A03-283-MOR-2	5882	23	53	47	29	0	230.9	53	0	0	0
PSC	0	Sample_P01-A04-303-SCA-2	5912	23	23	29	17	0	195.4	23	0	0	0
PSC	0	Sample_P01-A05-325-TRI-2	5926	23	3	16	10	0	141.7	3	0	0	6
PSC	0	Sample_P01-A06-343-JUW-2	5934	23	1	14	10	0	207.8	1	0	0	0
PSC	0	Sample_P01-A07-357-ALB-2	5932	23	1	15	9	0	198.0	1	0	0	2
PSC	0	Sample_P01-A08-371-SOF-2	5906	23	29	33	19	0	189.4	29	0	0	0
PSC	0	Sample_P01-A09-383-F21-2	5933	23	0	14	9	0	244.7	0	0	0	2
PSC	0	Sample_P01-A10-398-VAL-2	5904	23	31	30	24	0	180.0	31	0	0	0
PSC	0	Sample_P01-B01-215-AX-2	5924	23	6	17	12	0	169.4	6	0	0	5
PSC	0	Sample_P01-B02-246-GM-2	5932	23	3	14	12	0	171.6	3	0	0	0
PSC	0	Sample_P01-B03-285-NL-2	5919	23	16	19	20	0	198.1	16	0	0	0
PSC	0	Sample_P01-B04-304-SER-2	5935	23	0	14	9	0	175.4	0	0	0	0
PSC	0	Sample_P01-B05-333-WEG-2	5934	23	0	14	9	0	147.3	0	0	0	1
PSC	0	Sample_P01-B06-344-BET-2	5907	23	28	33	18	0	143.1	28	0	0	0
PSC	0	Sample_P01-B07-360-DAR-2	5932	23	0	14	9	0	155.3	0	0	0	3
PSC	0	Sample_P01-B08-372-STR-2	5913	23	13	24	12	0	133.7	13	0	0	9
PSC	0	Sample_P01-B09-391-F76-2	5930	23	0	14	9	0	166.3	0	0	0	5
PSC	0	Sample_P01-B10-399-CAR-2	5889	23	46	46	23	0	189.7	46	0	0	0
PSC	0	Sample_P01-C01-218-BAV-2	5935	23	0	14	9	0	182.7	0	0	0	0
PSC	0	Sample_P01-C02-250-JE-2	5935	23	0	14	9	0	201.5	0	0	0	0
PSC	0	Sample_P01-C03-288-OT-2	5781	22	155	113	64	0	316.5	154	0	0	0
PSC	0	Sample_P01-C04-305-SeS-2	5871	23	63	53	33	0	196.0	63	0	0	1
PSC	0	Sample_P01-C05-334-YD-2	5930	23	5	17	11	0	189.8	5	0	0	0
PSC	0	Sample_P01-C06-345-SOL-2	5934	23	0	14	9	0	259.0	0	0	0	1
PSC	0	Sample_P01-C07-361-DJ-2	5933	23	0	14	9	0	238.9	0	0	0	2
PSC	0	Sample_P01-C09-392-F60-2	5923	23	2	16	9	0	201.4	2	0	0	10
PSC	0	Sample_P01-C10-400-BOS-2	5924	23	0	14	9	0	77.2	0	0	0	11
PSC	0	Sample_P01-D02-256-KAR-2	5925	23	9	21	11	0	209.1	9	0	0	1
PSC	0	Sample_P01-D03-292-PAR-2	5894	23	38	36	25	0	204.9	38	0	0	3
PSC	0	Sample_P01-D04-311-S07-2	5931	23	4	18	9	0	162.5	4	0	0	0
PSC	0	Sample_P01-D05-336-PE-2	5935	23	0	14	9	0	208.0	0	0	0	0
PSC	0	Sample_P01-D06-348-SAJ-2	5930	23	0	14	9	0	143.1	0	0	0	5
PSC	0	Sample_P01-D07-362-EuG-2	5926	23	0	14	9	0	205.8	0	0	0	9
PSC	0	Sample_P01-D08-374-MOG-2	5931	23	4	16	11	0	77.4	4	0	0	0
PSC	0	Sample_P01-D09-393-MUS-2	5788	23	146	109	60	0	180.5	146	0	0	1
PSC	0	Sample_P01-D10-141-MA-2	5928	23	0	14	9	0	130.4	0	0	0	7
PSC	0	Sample_P01-E01-225-BUE-2	5815	23	120	98	45	0	164.6	120	0	0	0
PSC	0	Sample_P01-E02-258-KUB-2	5933	23	2	15	10	0	143.6	2	0	0	0
